target_id	length	eff_length	est_counts	tpm
g261.t1	999	837.532	13	0.813055
g262.t1	6501	6339.53	483	3.99087
g263.t1	900	738.532	0	0
g264.t1	1239	1077.53	0	0
g265.t1	2889	2727.53	1	0.0192047
g266.t1	2829	2667.53	0	0
g267.t1	2067	1905.53	0	0
g269.t1	657	495.649	12	1.26819
g270.t1	309	158.682	0	0
g271.t1	1494	1332.53	11671	458.784
g272.t1	588	426.698	47	5.76973
g273.t1	717	555.649	4	0.377084
g274.t1	1206	1044.53	97	4.86438
g275.t1	351	196.65	155	41.2872
g276.t1	1968	1806.53	97	2.81257
g277.t1	354	199.366	42	11.0351
g278.t1	3267	3105.53	108	1.82165
g279.t1	1401	1239.53	169	7.14179
g280.t1	3195	3033.53	62	1.07058
g282.t1	1140	978.532	3	0.160592
g283.t1	1245	1083.53	0	0
g285.t1	915	753.532	2	0.139029
g286.t1	2898	2736.53	4	0.0765663
g287.t1	2352	2190.53	0	0
g288.t1	4266	4104.53	145	1.85047
g290.t1	1266	1104.53	0	0
g291.t1	696	534.649	285	27.9225
g292.t1	3837	3675.53	147	2.09496
g294.t1	426	267.424	6	1.17525
g296.t1	2607	2445.53	28	0.59974
g298.t1	1233	1071.53	31.1173	1.52116
g300.t1	3099	2937.53	32	0.570618
g301.t1	357	202.079	48	12.4423
g302.t1	1308	1146.53	0	0
g303.t1	2235	2073.53	81	2.04622
g304.t1	720	558.649	6	0.562588
g306.t1	6183	6021.53	310	2.6967
g307.t1	1968	1806.53	281	8.14777
g308.t1	1809	1647.53	0	0
g309.t1	2043	1881.53	161	4.48221
g310.t1	825	663.532	20	1.57887
g311.t1	489	328.723	51	8.12678
g312.t1	1884	1722.53	6073	184.677
g313.t1	1455	1293.53	255	10.3262
g314.t1	2760	2598.53	60	1.20949
g316.t1	1128	966.532	19	1.02971
g317.t1	3672	3510.53	756	11.2805
g319.t1	231	96.2169	3	1.63323
g320.t1	1746	1584.53	0	0
g321.t1	4086	3924.53	12	0.160166
g322.t1	300	150.872	1	0.347192
g323.t1	483	322.854	1	0.162245
g324.t1	396	238.442	0	0
g325.t1	10704	10542.5	50	0.248429
g327.t1	813	651.532	0	0
g328.t1	906	744.532	0	0
g329.t1	459	299.414	0	0
g330.t1	2208	2046.53	732	18.7357
g331.t1	744	582.592	50	4.49556
g332.t1	771	609.532	479	41.1639
g336.t1	777	615.532	33	2.80829
g337.t1	1089	927.532	0	0
g338.t1	483	322.854	13	2.10919
g340.t1	2133	1971.53	6522	173.283
g341.t1	3099	2937.53	127	2.26464
g342.t1	1071	909.532	83	4.78011
g343.t1	1494	1332.53	70	2.75168
g344.t1	1515	1353.53	78	3.01859
g345.t1	1302	1140.53	1	0.0459273
g346.t1	1104	942.532	0	0
g347.t1	1665	1503.53	0	0
g348.t1	426	267.424	2030	397.625
g349.t1	2370	2208.53	0	0
g350.t1	1740	1578.53	2	0.0663674
g351.t1	3426	3264.53	1	0.0160456
g353.t1	1386	1224.53	0	0
g354.t1	1137	975.532	174	9.34299
g355.t1	693	531.649	2	0.197053
g356.t1	987	825.532	180	11.4213
g357.t1	672	510.649	0	0
g358.t1	1422	1260.53	190	7.89546
g359.t1	1350	1188.53	396	17.4527
