target_id	length	eff_length	est_counts	tpm
g3414.t1	2403	2194.54	1234	50.9566
g3416.t1	264	93.2372	38	36.9337
g3418.t1	14928	14719.5	2234	13.7536
g3419.t1	1590	1381.54	211	13.8404
g3420.t1	690	482.228	314	59.0072
g3421.t1	999	790.535	318	36.4531
g3422.t1	1314	1105.54	489	40.0834
g3423.t1	282	106.049	8	6.83616
g3424.t1	10233	10024.5	75	0.677993
g3425.t1	1770	1561.54	136	7.89251
g3426.t1	2904	2695.54	694	23.3315
g3427.t1	1173	964.535	12	1.12743
g3428.t1	336	148.584	194	118.32
g3430.t1	4308	4099.54	1799	39.7672
g3433.t1	807	598.798	103	15.5878
g3437.t1	1344	1135.54	569	45.4088
g3438.t1	756	547.97	932	154.13
g3440.t1	1029	820.535	199	21.9778
g3441.t1	981	772.535	0	0
g3442.t1	2721	2512.54	1940	69.9709
g3443.t1	2682	2473.54	284	10.4047
g3444.t1	3273	3064.54	256	7.57013
g3445.t1	1350	1141.54	2408	191.159
g3446.t1	2934	2725.54	379	12.6013
g3447.t1	8106	7897.54	562	6.44871
g3448.t1	4137	3928.54	135	3.11409
g3449.t1	951	742.535	74	9.03114
g3450.t1	744	535.97	7	1.18355
g3451.t1	558	352.135	2	0.514694
g3452.t1	2571	2362.54	1726	66.205
g3454.t1	1011	802.535	581	65.6055
g3455.t1	1152	943.535	208	19.9771
g3456.t1	1791	1582.54	754	43.1764
g3457.t1	5145	4936.54	889	16.3195
g3458.t1	2208	1999.54	0	0
g3459.t1	1344	1135.54	0	0
g3460.t1	2031	1822.54	165	8.2042
g3461.t1	1956	1747.54	142	7.3636
g3462.t1	945	736.535	0	0
g3463.t1	1122	913.535	1	0.099198
g3464.t1	1527	1318.54	143	9.82816
g3468.t1	2385	2176.54	4	0.166541
g3469.t1	1788	1579.54	153	8.77789
g3470.t1	834	625.798	0	0
g3471.t1	3375	3166.54	278	7.95589
g3472.t1	1431	1222.54	32	2.37201
g3473.t1	1308	1099.54	323	26.6208
g3474.t1	2661	2452.54	313	11.5653
g3475.t1	1056	847.535	344	36.7814
g3476.t1	504	300.018	9.68249	2.92461
g3477.t1	4431	4222.54	937	20.1092
g3480.t1	1248	1039.54	437	38.0952
g3481.t1	1011	802.535	222	25.0678
g3482.t1	1560	1351.54	782	52.4333
g3483.t1	1362	1153.54	1468	115.325
g3484.t1	1596	1387.54	3	0.195932
g3485.t1	483	279.924	141	45.6464
g3486.t1	6774	6565.54	4742	65.4515
g3487.t1	543	337.517	13	3.49041
g3488.t1	1818	1609.54	85	4.78571
g3490.t1	2514	2305.54	4	0.157223
g3491.t1	2160	1951.54	529	24.5645
g3492.t1	1017	808.535	1530	171.483
g3493.t1	2805	2596.54	37	1.29133
g3494.t1	906	697.535	394	51.1868
g3495.t1	2466	2257.54	48	1.92679
g3496.t1	438	237.6	1025	390.935
g3499.t1	783	574.858	7	1.10348
g3500.t1	1614	1405.54	184	11.8633
g3501.t1	1635	1426.54	603	38.3057
g3502.t1	3717	3508.54	1312	33.8872
g3503.t1	4851	4642.54	2428	47.3938
g3504.t1	540	334.584	343	92.9002
g3506.t1	3975	3766.54	1004	24.1557
g3507.t1	1107	898.535	35	3.52989
g3508.t1	1398	1189.54	0	0
g3509.t1	351	160.953	0	0
g3510.t1	588	381.324	65	15.4471
g3511.t1	408	210.017	0	0
g3512.t1	1659	1450.54	145	9.05874
g3513.t1	894	685.535	395	52.215
g3514.t1	2094	1885.54	238	11.4385
g3515.t1	2457	2248.54	245	9.87403
g3516.t1	17004	16795.5	18	0.0971196
g3517.t1	636	428.727	340	71.8665
g3518.t1	924	715.535	312	39.5141
g3519.t1	531	325.885	352	97.8829
g3520.t1	261	91.1407	36	35.7946
g3521.t1	1110	901.535	7	0.703628
g3522.t1	1110	901.535	16	1.60829
g3523.t1	1275	1066.54	316	26.8497
g3524.t1	1296	1087.54	160	13.3323
g3525.t1	1101	892.535	142	14.4175
g3526.t1	639	431.727	112	23.5092
g3527.t1	1554	1345.54	129	8.68806
g3528.t1	282	106.049	241	205.939
g3529.t1	1719	1510.54	40	2.3997
g3530.t1	678	470.276	56	10.791
g3531.t1	1611	1402.54	25	1.6153
g3532.t1	567	360.92	0	0
g3533.t1	1014	805.535	126	14.1747
g3534.t1	786	577.858	298	46.733
g3536.t1	1965	1756.54	396	20.4299
g3537.t1	1476	1267.54	575	41.1089
g3538.t1	4095	3886.54	588	13.7102
g3539.t1	5910	5701.54	484	7.69275
g3540.t1	1239	1030.54	472	41.5057
g3541.t1	3060	2851.54	734	23.3263
g3543.t1	1476	1267.54	0	0
g3545.t1	1638	1429.54	139	8.81146
g3546.t1	3927	3718.54	622	15.1582
g3547.t1	3591	3382.54	118	3.16131
g3548.t1	1845	1636.54	1377	76.2494
g3549.t1	468	265.561	10	3.41243
g3550.t1	483	279.924	24	7.7696
