target_id	length	eff_length	est_counts	tpm
g1.t1	945	753.177833333333	4.86630824612626	0.473580448982563
g2.t1	759	567.417	46.4576537407445	6.00131757765267
g3.t1	597	406.575833333333	483.027656129195	87.0807410861612
g4.t1	1695	1503.15333333333	714.062449912501	34.8196652217181
g5.t1	4182	3990.15333333333	89.4377935410238	1.64294555335212
g6.t1	1749	1557.15333333333	337.494183431383	15.8864402042785
g7.t1	1863	1671.15333333333	393.211007489704	17.2465029574185
g10.t1	732	540.498833333333	13.540336714352	1.83622706045736
g11.t1	1302	1110.15333333333	48.3292954510561	3.19094395626097
g12.t1	777	585.3685	109.87595071999	13.7583064115148
g13.t1	1758	1566.15333333333	284.567937584017	13.3181335954862
g15.t1	1350	1158.15333333333	252.075471408374	15.9535084399281
g16.t1	963	771.165833333333	13.3672265120262	1.27053082871141
g17.t1	1830	1638.15333333333	226.640994583191	10.140878919734
g18.t1	429	244.613666666667	1537.45351789344	460.694425057471
g19.t1	1395	1203.15333333333	270.067521696961	16.4529228161415
g20.t1	3411	3219.15333333333	436.293214914495	9.93409881406058
g21.t1	579	388.859166666667	7.93456563266535	1.49562424108503
g22.t1	450	264.2435	0.795619673516007	0.220695196272164
g23.t1	465	278.557333333333	175.489437485214	46.1772499741346
g25.t1	1650	1458.15333333333	372.966147643054	18.748127555307
g27.t1	420	236.252666666667	6.94875867071235	2.15586811584321
g28.t1	225	78.8060833333333	245.770199225952	228.59206864557
g29.t1	1092	900.153	6748.58668326739	549.525913974954
g30.t1	2463	2271.15333333333	736.398185805734	23.7661007488843
g32.t1	1362	1170.15333333333	181.12170212792	11.3453891436328
g33.t1	2235	2043.15333333333	149.357862976285	5.35819864735359
g36.t1	1251	1059.15333333333	75.3199168778257	5.2124592716862
g38.t1	2406	2214.15333333333	314.638186757153	10.4158667981316
g39.t1	1992	1800.15333333333	169.128800836628	6.88651900723369
g40.t1	2148	1956.15333333333	420.252834059195	15.747058348845
g42.t1	750	558.445166666667	97.3397390718072	12.7761888047783
g43.t1	486	298.5745	101.588633735317	24.9392900214127
g44.t1	1815	1623.15333333333	102.385532912118	4.62349856320628
g48.t1	1656	1464.15333333333	18.8897861331278	0.945653774276231
g50.t1	597	406.575833333333	59.9147450190721	10.8014941423016
